time_sec,heart_rate,spo2,bp_sys,bp_dia,motion,spo2_diff,hr_diff,artifact
0,81.98685661204493,98.9505953428765,115.88032256514,75.24893904032989,0.0527930334843179,,,False
1,79.44694279531527,97.96966959309268,116.40445274275407,78.41070698979455,0.0513004926237756,0.9809257497838217,-2.5399138167296655,False
2,82.59075415240277,97.64579661654476,130.24906047892964,82.13745959454553,0.0662656081212918,0.3238729765479178,3.1438113570875004,False
3,86.0921194256321,97.2431428036936,120.00341409478742,80.36437442502366,0.033122922451502,0.4026538128511561,3.5013652732293394,False
4,79.06338650110666,97.09843016187205,123.9106500076573,76.59384008088273,0.0151265479520692,0.14471264182155608,-7.028732924525443,False
5,79.06345217220328,97.20793202849724,116.04550309166224,80.02509262473767,0.0531364603219638,-0.10950186662519457,6.56710966211449e-05,False
6,86.31685126202956,98.13356332550576,116.1007352688918,73.87385873902542,0.055624609844372,-0.9256312970085219,7.253399089826274,False
7,83.06973891661164,98.25436251161496,125.40992404624971,84.60106958359319,0.0797919881889529,-0.12079918610919549,-3.247112345417918,False
8,78.1221024562602,97.20940464898392,113.25211894224232,79.178863922015,0.0245927590734982,1.044957862631037,-4.947636460351447,False
9,82.17024017434386,98.44751915703806,117.92393116047364,84.4741997770213,0.0730938753343344,-1.2381145080541387,4.048137718083666,False
10,78.14632922875015,97.75846947415828,120.17013705536117,77.89387325161583,0.0973482872805424,0.6890496828797836,-4.0239109455937125,False
11,78.13708098571897,98.07339650599278,120.55686300920026,77.90569604637366,0.0424447022495504,-0.3149270318345003,-0.009248243031180436,False
12,80.96784908626414,98.80611031412772,119.10453357491922,76.94325285344861,0.0241811556101355,-0.732713808134946,2.8307681005451713,False
13,72.3468790213688,98.44841965793276,121.97909890547962,83.5046957267723,0.0418605126725325,0.3576906561949613,-8.620970064895332,False
14,73.10032866994787,97.86573467604708,123.46427877908906,77.1622753706861,0.0502800993474276,0.5826849818856772,0.753449648579064,False
15,77.75084988303611,97.55440388729237,123.67318772729664,82.5783817296607,0.0612757575001382,0.31133078875471654,4.65052121308824,False
16,75.9486755186623,96.92409229933534,115.07098095666086,78.47019040932284,0.038172105403239,0.6303115879570242,-1.802174364373812,False
17,81.25698933038109,97.6404233403788,118.579224510356,72.09614680043352,0.0811039706829468,-0.7163310410434605,5.30831381171879,False
