time_sec,heart_rate,spo2,bp_sys,bp_dia,motion
0,81.98685661204493,98.9505953428765,115.88032256514,75.24893904032989,0.052793033484317936
1,79.44694279531527,97.96966959309269,116.40445274275407,78.41070698979455,0.051300492623775604
2,82.59075415240277,97.64579661654477,130.24906047892964,82.13745959454553,0.06626560812129187
3,86.0921194256321,97.24314280369359,120.00341409478742,80.36437442502366,0.033122922451502015
4,79.06338650110666,97.09843016187203,123.9106500076573,76.59384008088273,0.015126547952069282
5,79.06345217220328,97.20793202849725,116.04550309166224,80.02509262473767,0.05313646032196387
6,86.31685126202956,98.13356332550575,116.10073526889181,73.87385873902542,0.055624609844372085
7,83.06973891661164,98.25436251161497,125.40992404624971,84.60106958359319,0.07979198818895299
8,78.1221024562602,97.20940464898393,113.25211894224233,79.178863922015,0.02459275907349828
9,82.17024017434386,98.44751915703806,117.92393116047364,84.4741997770213,0.07309387533433441
10,78.14632922875015,97.75846947415828,120.17013705536117,77.89387325161583,0.09734828728054243
11,78.13708098571897,98.07339650599278,120.55686300920026,77.90569604637366,0.04244470224955046
12,80.96784908626414,98.80611031412771,119.10453357491922,76.94325285344861,0.02418115561013552
13,72.3468790213688,98.44841965793276,121.97909890547962,83.5046957267723,0.04186051267253258
14,73.10032866994787,97.86573467604708,123.46427877908906,77.1622753706861,0.050280099347427616
15,77.75084988303611,97.55440388729235,123.67318772729665,82.5783817296607,0.06127575750013829
16,75.9486755186623,96.92409229933534,115.07098095666086,78.47019040932284,0.03817210540323905
17,81.25698933038109,97.64042334037879,118.57922451035601,72.09614680043352,0.08110397068294684
18,76.36790369791515,97.89443488058615,125.9738143093847,77.71874372885414,0.02770935369983877
19,74.35078519465884,97.50641023642441,124.47323593786936,75.2835671425486,0.015215896956544003
20,85.86259507568622,97.93437151645385,113.13570274259467,80.13561089472935,0.07213420848574635
21,79.09689479805385,98.03842594147939,121.75739950176101,75.23836905730204,0.0045075793758760085
22,104.63164845997476,84.61497255740063,110.10887375312595,83.70390040285847,0.7663852197744873
23,74.30100725514617,97.67499870958827,120.23467451030184,79.6356965585879,0.11235362258416096
24,77.82246910189927,98.08432733598336,129.4888350837299,79.28961602096504,0.049759128940801374
25,80.44369035883946,98.2209703247847,115.26053641365507,82.62356855115033,0.02758464698607501
26,75.3960256903108,97.45480046127858,115.8283847725421,83.85562773630345,0.04885205072426413
27,81.5027920733827,98.70546618987314,123.8201489078643,79.91960499292139,0.04898398422760933
28,77.59744524032477,97.95070593385788,112.28599242395177,76.91519880180283,0.05321299880706233
29,78.8332250008269,98.00942481147243,116.83622485057481,72.90412153555148,0.0632452596431924
30,77.59317355108242,98.35410721162827,122.98220568790876,77.25580097185929,0.02921777663264522
31,87.40911273803574,98.11660806563175,116.82857076155298,77.53115101340815,0.08375096110473587
32,79.94601110104827,98.47656831695662,118.82015006394514,80.42822981196919,0.05490228568745236
33,75.7691562841764,98.14356208260091,123.72092855157517,78.61941247544789,0.06453588092803608
34,83.29017964841276,97.69378131267977,122.1077304176828,82.75173188820571,0.03743701200488715
35,75.11662540011591,98.18075176260305,121.33409198147702,77.54806691491724,0.07572764273991067
36,80.83545438001902,97.42813689633967,118.30438860364981,79.77183533258824,0.04485895182373871
37,72.1613195044809,98.05427985288826,121.85030557634478,84.73594977278756,0.05555105026987064
38,74.68725580440628,97.98338500467777,119.38133659950121,81.36730085581986,0.031337878456257816
39,80.78744494347649,97.89594157136374,122.28902804962893,79.75984983324574,0.030061367471957465
40,82.95386631998164,97.93573124428053,117.5153398744101,77.59222223225929,0.06376410612905765
41,80.68547312475988,97.05907547725118,119.0871551281023,77.4670744131401,0.04112786339585228
